ID	b	se	OR	lower_ci	upper_ci	p	Qstat	Qpval	fstat_adiposity	fstat_protein	exposure	mediator	cancer	group	adiposity	protein	protein_name	gene	uni_prot	ensembl_gene_ID	entrez_gene_ID	HGNC_ID
BMI_10425_3_rectal_Female	-0.00470707079401246	0.0854373973477229	0.995303990102105	0.841840788765751	1.17674273560154	0.95611115138903	276.178087121061	0.0222592676593082	25.7841543467835	1.34162709923947	BMI	10425_3	rectal	Female	BMI	B4GT5	Beta-1,4-galactosyltransferase 5	B4GALT5	O43286	ENSG00000158470	9334	HGNC:928
BMI_10425_3_rectal_Female	0.222809375975879	0.158423214023247	1.24958235061504	0.916035533060437	1.70458022054214	0.160937849276946	276.178087121061	0.0222592676593082	25.7841543467835	1.34162709923947	10425_3	BMI	rectal	Female	BMI	B4GT5	Beta-1,4-galactosyltransferase 5	B4GALT5	O43286	ENSG00000158470	9334	HGNC:928
BMI_10435_2_colon_Male	0.251738529688227	0.0633836064074741	1.28625967459419	1.13599243520877	1.4564040210207	0.000100027135519282	259.173129839937	0.00167526689525504	42.364732410964	2.77338184074012	BMI	10435_2	colon	Male	BMI	ASPG	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	AGA	P20933	ENSG00000038002	175	HGNC:318
BMI_10435_2_colon_Male	0.197239661148996	0.0888819972574314	1.21803592161675	1.02329820658017	1.44983299766247	0.0276198748121395	259.173129839937	0.00167526689525504	42.364732410964	2.77338184074012	10435_2	BMI	colon	Male	BMI	ASPG	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase	AGA	P20933	ENSG00000038002	175	HGNC:318
BMI_10490_3_overall_Female	0.0878796705789816	0.053182521909187	1.09185673163494	0.98377499434309	1.21181279181891	0.0998023749854432	309.747299280795	0.000411810181310584	20.2179731555319	2.70482970548339	BMI	10490_3	overall	Female	BMI	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	P04843	ENSG00000163902	6184	HGNC:10381
BMI_10490_3_overall_Female	0.0879921353259988	0.0735218727661216	1.09197953393138	0.945434437131714	1.2612395483949	0.232599923516778	309.747299280795	0.000411810181310584	20.2179731555319	2.70482970548339	10490_3	BMI	overall	Female	BMI	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	P04843	ENSG00000163902	6184	HGNC:10381
BMI_10490_3_overall_Sex-combined	0.149688678351194	0.0375442793058663	1.16147259487352	1.07907251623861	1.25016490397197	7.84481214083488e-05	746.345459345411	9.03610453472453e-19	22.114606551753	1.93572243327073	BMI	10490_3	overall	Sex-combined	BMI	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	P04843	ENSG00000163902	6184	HGNC:10381
BMI_10490_3_overall_Sex-combined	-0.0287987584026775	0.0499206995333071	0.971611973539199	0.881047860354557	1.07148529563971	0.564311412040198	746.345459345411	9.03610453472453e-19	22.114606551753	1.93572243327073	10490_3	BMI	overall	Sex-combined	BMI	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	P04843	ENSG00000163902	6184	HGNC:10381
BMI_10490_3_proximal_Sex-combined	0.218601420550101	0.0514212114541043	1.24433521138934	1.12503691235468	1.3762838368233	2.60280054442315e-05	573.201909403103	9.05911105355678e-06	22.114606551753	1.93572243327073	BMI	10490_3	proximal	Sex-combined	BMI	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	P04843	ENSG00000163902	6184	HGNC:10381
BMI_10490_3_proximal_Sex-combined	-0.069836028332453	0.0682578791824859	0.932546718610594	0.815771105339545	1.06603847169779	0.306818251604536	573.201909403103	9.05911105355678e-06	22.114606551753	1.93572243327073	10490_3	BMI	proximal	Sex-combined	BMI	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	P04843	ENSG00000163902	6184	HGNC:10381
BMI_10563_13_proximal_Female	0.198517192713585	0.0759299802235813	1.21959299534706	1.05094991009282	1.41529777967082	0.0095216921960287	286.963428243249	0.00715638372178168	29.9738330569392	1.68343729161542	BMI	10563_13	proximal	Female	BMI	LYSM3	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSMD3	Q7Z3D4	ENSG00000176018	116068	HGNC:26969
BMI_10563_13_proximal_Female	0.131618440186063	0.128956291181645	1.14067300124447	0.885913564149027	1.46869282560074	0.308486342833823	286.963428243249	0.00715638372178168	29.9738330569392	1.68343729161542	10563_13	BMI	proximal	Female	BMI	LYSM3	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSMD3	Q7Z3D4	ENSG00000176018	116068	HGNC:26969
BMI_10618_190_proximal_Female	0.200869730885056	0.0761621142247332	1.22246551194994	1.05294603918959	1.41927684067953	0.00891933941568541	287.33112171869	0.00686733313701332	26.8562103251595	2.03138874405539	BMI	10618_190	proximal	Female	BMI	megalin	Low-density lipoprotein receptor-related protein 2	LRP2	P98164	ENSG00000081479	4036	HGNC:6694
BMI_10618_190_proximal_Female	0.0981301148175204	0.118799604880236	1.10310630624693	0.873963111492413	1.39232824232573	0.409644885018773	287.33112171869	0.00686733313701332	26.8562103251595	2.03138874405539	10618_190	BMI	proximal	Female	BMI	megalin	Low-density lipoprotein receptor-related protein 2	LRP2	P98164	ENSG00000081479	4036	HGNC:6694
BMI_10618_190_rectal_Female	0.0131780678866939	0.0840353738576174	1.01326528130367	0.859391013100954	1.19469079225151	0.875526461950035	278.641720413223	0.0173992893996382	26.8562103251595	2.03138874405539	BMI	10618_190	rectal	Female	BMI	megalin	Low-density lipoprotein receptor-related protein 2	LRP2	P98164	ENSG00000081479	4036	HGNC:6694
BMI_10618_190_rectal_Female	0.112751056804736	0.13124320768655	1.11935324288811	0.865467348853754	1.44771687114895	0.391172053170087	278.641720413223	0.0173992893996382	26.8562103251595	2.03138874405539	10618_190	BMI	rectal	Female	BMI	megalin	Low-density lipoprotein receptor-related protein 2	LRP2	P98164	ENSG00000081479	4036	HGNC:6694
BMI_10695_12_distal_Male	0.206076435019804	0.0812024026302172	1.22884712736027	1.04803787536849	1.44084989475275	0.0119367860627981	258.090429046254	0.00141907133054244	23.2750785280489	1.41365623021984	BMI	10695_12	distal	Male	BMI	WF10B	Protein WFDC10B	WFDC10B	Q8IUB3	ENSG00000182931	280664	HGNC:20479
BMI_10695_12_distal_Male	0.201217943129391	0.165353765051691	1.22289126353113	0.88437381651125	1.69098520840451	0.225115434673924	258.090429046254	0.00141907133054244	23.2750785280489	1.41365623021984	10695_12	BMI	distal	Male	BMI	WF10B	Protein WFDC10B	WFDC10B	Q8IUB3	ENSG00000182931	280664	HGNC:20479
BMI_10842_7_rectal_Female	0.0124218224668185	0.084106226868393	1.01249929374936	0.858622101504004	1.19395344942466	0.882713518532458	279.021898707482	0.0187066130359686	39.9729155406177	1.8090171526886	BMI	10842_7	rectal	Female	BMI	GCNT4	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GCNT4	Q9P109	ENSG00000176928	51301	HGNC:17973
BMI_10842_7_rectal_Female	0.123882211799644	0.139007500885437	1.13188254073948	0.861937523110068	1.48637001137639	0.373746143288559	279.021898707482	0.0187066130359686	39.9729155406177	1.8090171526886	10842_7	BMI	rectal	Female	BMI	GCNT4	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4	GCNT4	Q9P109	ENSG00000176928	51301	HGNC:17973
BMI_11112_18_proximal_Female	0.165245297839531	0.0761289809927341	1.17968245678092	1.0161617051395	1.36951696939378	0.0309765526618069	273.946161753884	0.0276386938318544	17.776512821176	1.1061992664803	BMI	11112_18	proximal	Female	BMI	KISHA	Protein kish-A	TMEM167A	Q8TBQ9	ENSG00000174695	153339	HGNC:28330
BMI_11112_18_proximal_Female	0.416439013350383	0.162708726292706	1.51655150910644	1.10244441498056	2.08620811037769	0.0111205466526178	273.946161753884	0.0276386938318544	17.776512821176	1.1061992664803	11112_18	BMI	proximal	Female	BMI	KISHA	Protein kish-A	TMEM167A	Q8TBQ9	ENSG00000174695	153339	HGNC:28330
BMI_11126_102_colon_Sex-combined	0.188574900719739	0.0422312970856336	1.20752752428019	1.11160126671971	1.31173179227935	1.01975088137292e-05	649.33231173028	1.06243953270488e-10	21.4400750457929	1.13220818017269	BMI	11126_102	colon	Sex-combined	BMI	TRIO	Triple functional domain protein	TRIO	O75962	ENSG00000038382	7204	HGNC:12303
BMI_11126_102_colon_Sex-combined	0.0421520562536327	0.0756670376153271	1.04305306943518	0.899284944575345	1.2098053150127	0.577763469340444	649.33231173028	1.06243953270488e-10	21.4400750457929	1.13220818017269	11126_102	BMI	colon	Sex-combined	BMI	TRIO	Triple functional domain protein	TRIO	O75962	ENSG00000038382	7204	HGNC:12303
BMI_11126_102_distal_Female	0.0778451339289063	0.0763206448865559	1.08095524241545	0.930769765784937	1.25537407751964	0.308802851178942	236.794731658128	0.382724991954725	19.3115600000789	1.13835809048573	BMI	11126_102	distal	Female	BMI	TRIO	Triple functional domain protein	TRIO	O75962	ENSG00000038382	7204	HGNC:12303
BMI_11126_102_distal_Female	0.362371006885361	0.168207778610745	1.43673188051239	1.03322374173001	1.99782333013798	0.0322464482551048	236.794731658128	0.382724991954725	19.3115600000789	1.13835809048573	11126_102	BMI	distal	Female	BMI	TRIO	Triple functional domain protein	TRIO	O75962	ENSG00000038382	7204	HGNC:12303
BMI_11146_4_proximal_Female	0.191539996323442	0.0777864769342106	1.21111327224945	1.03985211043033	1.4105807388435	0.0145299489926465	286.938662074155	0.00717624202939392	11.2396366121432	1.52993933171361	BMI	11146_4	proximal	Female	BMI	TBX22	T-box transcription factor TBX22	TBX22	Q9Y458	ENSG00000122145	NA	HGNC:11600
BMI_11146_4_proximal_Female	0.138065127221405	0.137971598171892	1.14805031716666	0.876026265370566	1.5045433942428	0.318025119869524	286.938662074155	0.00717624202939392	11.2396366121432	1.52993933171361	11146_4	BMI	proximal	Female	BMI	TBX22	T-box transcription factor TBX22	TBX22	Q9Y458	ENSG00000122145	NA	HGNC:11600
BMI_11149_3_rectal_Female	0.0101138352035167	0.0856629506372222	1.01016515289509	0.854032911358653	1.19484111508091	0.906117950923634	278.760636794809	0.017190282191148	26.4437898287663	1.42362184213699	BMI	11149_3	rectal	Female	BMI	TLR1	Toll-like receptor 1	TLR1	Q15399	ENSG00000174125	7096	HGNC:11847
BMI_11149_3_rectal_Female	0.12339523123612	0.161008790472561	1.13133147013317	0.825156677885487	1.55111257003159	0.444224469301157	278.760636794809	0.017190282191148	26.4437898287663	1.42362184213699	11149_3	BMI	rectal	Female	BMI	TLR1	Toll-like receptor 1	TLR1	Q15399	ENSG00000174125	7096	HGNC:11847
BMI_11155_16_proximal_Female	0.214708796508505	0.0764654609557264	1.23950089741741	1.06698455071546	1.43991070317594	0.00541081530494319	289.00754925251	0.00567866630421374	24.3787723899808	1.35200775655643	BMI	11155_16	proximal	Female	BMI	CO6A5	Collagen alpha-5(VI) chain	COL6A5	A8TX70	ENSG00000172752	NA	HGNC:26674
BMI_11155_16_proximal_Female	0.0142137654532712	0.15171868296174	1.01431526132683	0.753403111979716	1.36558428416503	0.925440239236812	289.00754925251	0.00567866630421374	24.3787723899808	1.35200775655643	11155_16	BMI	proximal	Female	BMI	CO6A5	Collagen alpha-5(VI) chain	COL6A5	A8TX70	ENSG00000172752	NA	HGNC:26674
BMI_11168_3_proximal_Female	0.203152139347982	0.0751407400430447	1.22525886415277	1.05746685521796	1.41967502506308	0.00736660968186349	287.339438807874	0.006860918679378	43.663738474444	2.84633133207644	BMI	11168_3	proximal	Female	BMI	MEG10	Multiple epidermal growth factor-like domains protein 10	MEGF10	Q96KG7	ENSG00000145794	NA	HGNC:29634
BMI_11168_3_proximal_Female	0.102672404995093	0.101988371974637	1.10812833230173	0.907352006775428	1.35333188407631	0.315124422954338	287.339438807874	0.006860918679378	43.663738474444	2.84633133207644	11168_3	BMI	proximal	Female	BMI	MEG10	Multiple epidermal growth factor-like domains protein 10	MEGF10	Q96KG7	ENSG00000145794	NA	HGNC:29634
BMI_11205_10_proximal_Female	0.203857998124393	0.0770472277375454	1.22612402918165	1.05426667637887	1.4259960678074	0.00870514337343677	287.760775484101	0.00654296634137343	45.8926037014787	1.41286765015534	BMI	11205_10	proximal	Female	BMI	Integrin beta-7	Integrin beta-7	ITGB7	P26010	ENSG00000139626	3695	HGNC:6162
BMI_11205_10_proximal_Female	0.0946796041030372	0.150361338372979	1.09930658537677	0.818707322069423	1.47607690327979	0.529523255006752	287.760775484101	0.00654296634137343	45.8926037014787	1.41286765015534	11205_10	BMI	proximal	Female	BMI	Integrin beta-7	Integrin beta-7	ITGB7	P26010	ENSG00000139626	3695	HGNC:6162
BMI_11270_17_proximal_Male	0.264573800514422	0.0753533256950578	1.3028755725317	1.12398598457239	1.5102365872877	0.000554321701997694	206.286716456527	0.259548036785228	21.7359422271325	1.87960818852157	BMI	11270_17	proximal	Male	BMI	CHC10	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial	CHCHD10	Q8WYQ3	ENSG00000250479	NA	HGNC:15559
BMI_11270_17_proximal_Male	0.0804474670278217	0.129713323909796	1.08377191138711	0.840472834048571	1.39750091654216	0.535853957012846	206.286716456527	0.259548036785228	21.7359422271325	1.87960818852157	11270_17	BMI	proximal	Male	BMI	CHC10	Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial	CHCHD10	Q8WYQ3	ENSG00000250479	NA	HGNC:15559
BMI_11284_24_proximal_Female	0.203805898066323	0.0773358605613514	1.2260601497126	1.05361553009326	1.42672867642737	0.00897209341140468	288.091547254535	0.00630276210394359	16.4464824832891	1.45709572674954	BMI	11284_24	proximal	Female	BMI	LAIR1	Leukocyte-associated immunoglobulin-like receptor 1	LAIR1	Q6GTX8	ENSG00000167613	3903	HGNC:6477
BMI_11284_24_proximal_Female	0.0739217455661815	0.138218602829096	1.07672254388629	0.821201542098858	1.41175019417267	0.593288169066704	288.091547254535	0.00630276210394359	16.4464824832891	1.45709572674954	11284_24	BMI	proximal	Female	BMI	LAIR1	Leukocyte-associated immunoglobulin-like receptor 1	LAIR1	Q6GTX8	ENSG00000167613	3903	HGNC:6477
BMI_11289_31_rectal_Female	0.00513772230210588	0.0842622905987615	1.00515094302911	0.852129841811627	1.18565078782402	0.951433226626728	277.006820964248	0.0205068630078178	20.6014911118485	1.33664379323429	BMI	11289_31	rectal	Female	BMI	KC1D	Casein kinase I isoform delta	CSNK1D	P48730	ENSG00000141551	NA	HGNC:2452
BMI_11289_31_rectal_Female	0.189584965119662	0.158049020101847	1.20874782102979	0.88675094975272	1.64766814769323	0.231544490324312	277.006820964248	0.0205068630078178	20.6014911118485	1.33664379323429	11289_31	BMI	rectal	Female	BMI	KC1D	Casein kinase I isoform delta	CSNK1D	P48730	ENSG00000141551	NA	HGNC:2452
BMI_11350_30_colon_Female	0.165957373858339	0.059292592162502	1.18052277951953	1.0510018931943	1.3260052545946	0.00555626998888098	280.589515851344	0.0159563412998404	25.6555182793132	1.56915156697132	BMI	11350_30	colon	Female	BMI	CHIP	E3 ubiquitin-protein ligase CHIP	STUB1	Q9UNE7	ENSG00000103266	10273	HGNC:11427
BMI_11350_30_colon_Female	0.0729298044563964	0.104831864576066	1.07565502807512	0.875867329276899	1.32101483951743	0.487320316963001	280.589515851344	0.0159563412998404	25.6555182793132	1.56915156697132	11350_30	BMI	colon	Female	BMI	CHIP	E3 ubiquitin-protein ligase CHIP	STUB1	Q9UNE7	ENSG00000103266	10273	HGNC:11427
BMI_11350_30_distal_Female	0.110562650376263	0.0753511379584361	1.11690632146149	0.963555124476947	1.29466358408691	0.143643226676727	242.91855029706	0.298064030004754	25.6555182793132	1.56915156697132	BMI	11350_30	distal	Female	BMI	CHIP	E3 ubiquitin-protein ligase CHIP	STUB1	Q9UNE7	ENSG00000103266	10273	HGNC:11427
BMI_11350_30_distal_Female	0.102186790449421	0.133365990875064	1.10759033970418	0.852816778071103	1.43847587447879	0.444324971530663	242.91855029706	0.298064030004754	25.6555182793132	1.56915156697132	11350_30	BMI	distal	Female	BMI	CHIP	E3 ubiquitin-protein ligase CHIP	STUB1	Q9UNE7	ENSG00000103266	10273	HGNC:11427
BMI_11352_42_colon_Male	0.257041824950067	0.0654669764956406	1.29309920943821	1.13737906649128	1.47013921278508	0.000119603976143055	263.252048444648	0.000686170452458634	10.5882480220143	1.3774997883212	BMI	11352_42	colon	Male	BMI	TITIN	Titin	TTN	Q8WZ42	NA	7273	HGNC:12403
BMI_11352_42_colon_Male	0.200782653472387	0.136760123615868	1.2223590674506	0.934945361018161	1.5981272832367	0.143678086287953	263.252048444648	0.000686170452458634	10.5882480220143	1.3774997883212	11352_42	BMI	colon	Male	BMI	TITIN	Titin	TTN	Q8WZ42	NA	7273	HGNC:12403
BMI_11486_26_proximal_Female	0.181055675779077	0.0770558392119494	1.19848190384942	1.03048156408224	1.39387149068869	0.0196294598766012	283.610606464866	0.0103429211788198	13.3275920206713	1.44630704769342	BMI	11486_26	proximal	Female	BMI	ZN174	Zinc finger protein 174	ZNF174	Q15697	ENSG00000103343	NA	HGNC:12963
BMI_11486_26_proximal_Female	0.224639177897277	0.142794305164315	1.25187093198789	0.94626023280822	1.656183760048	0.117043053991969	283.610606464866	0.0103429211788198	13.3275920206713	1.44630704769342	11486_26	BMI	proximal	Female	BMI	ZN174	Zinc finger protein 174	ZNF174	Q15697	ENSG00000103343	NA	HGNC:12963
BMI_11573_3_colon_Male	0.219253642506529	0.0672276938437627	1.24514705885895	1.0914284715079	1.42051562576805	0.00130877686450538	257.496619604115	0.00153941448064369	9.02072211499111	1.67109913345983	BMI	11573_3	colon	Male	BMI	SRSF6	Serine/arginine-rich splicing factor 6	SRSF6	Q13247	ENSG00000124193	NA	HGNC:10788
BMI_11573_3_colon_Male	0.299700292042195	0.122321415911569	1.34945430476884	1.06178379247731	1.71506377622361	0.0151635582571125	257.496619604115	0.00153941448064369	9.02072211499111	1.67109913345983	11573_3	BMI	colon	Male	BMI	SRSF6	Serine/arginine-rich splicing factor 6	SRSF6	Q13247	ENSG00000124193	NA	HGNC:10788
BMI_11573_3_overall_Male	0.194607096123201	0.0583447567625403	1.21483357988522	1.08355941088111	1.36201172911843	0.00101940741742918	300.521089782849	1.42236969340859e-06	9.02072211499111	1.67109913345983	BMI	11573_3	overall	Male	BMI	SRSF6	Serine/arginine-rich splicing factor 6	SRSF6	Q13247	ENSG00000124193	NA	HGNC:10788
BMI_11573_3_overall_Male	0.185905026815919	0.106244565754631	1.2043078779923	0.977913242421036	1.48311465892786	0.0817286397079342	300.521089782849	1.42236969340859e-06	9.02072211499111	1.67109913345983	11573_3	BMI	overall	Male	BMI	SRSF6	Serine/arginine-rich splicing factor 6	SRSF6	Q13247	ENSG00000124193	NA	HGNC:10788
BMI_11573_3_proximal_Sex-combined	0.225898174337266	0.054063944668661	1.25344802560389	1.12742113457531	1.39356262243756	3.54887971992459e-05	575.749171591649	6.53914203338529e-06	9.75339109974652	1.38187413960462	BMI	11573_3	proximal	Sex-combined	BMI	SRSF6	Serine/arginine-rich splicing factor 6	SRSF6	Q13247	ENSG00000124193	NA	HGNC:10788
BMI_11573_3_proximal_Sex-combined	-0.0749940821595423	0.0801587620533359	0.927748976582736	0.792862665533025	1.08558291488182	0.350012838785642	575.749171591649	6.53914203338529e-06	9.75339109974652	1.38187413960462	11573_3	BMI	proximal	Sex-combined	BMI	SRSF6	Serine/arginine-rich splicing factor 6	SRSF6	Q13247	ENSG00000124193	NA	HGNC:10788
BMI_11591_43_proximal_Female	0.210018501860591	0.0767250146184158	1.23370088550738	1.0614516721169	1.43390218780876	0.00667477774692809	288.971939748123	0.00570184001138059	28.6925503986314	1.50289687218177	BMI	11591_43	proximal	Female	BMI	PRC1	Protein regulator of cytokinesis 1	PRC1	O43663	ENSG00000198901	9055	HGNC:9341
BMI_11591_43_proximal_Female	0.0346717477620799	0.13821771307238	1.03527982010024	0.789595121079106	1.35740999063165	0.802153031030196	288.971939748123	0.00570184001138059	28.6925503986314	1.50289687218177	11591_43	BMI	proximal	Female	BMI	PRC1	Protein regulator of cytokinesis 1	PRC1	O43663	ENSG00000198901	9055	HGNC:9341
BMI_11592_1_proximal_Female	0.203881491849439	0.0758417828982679	1.22615283574084	1.05678533503912	1.42266430725939	0.00769904203773513	288.850965682208	0.00743230051627556	24.393245534646	2.14938643738054	BMI	11592_1	proximal	Female	BMI	ELAV1	ELAV-like protein 1	ELAVL1	Q15717	ENSG00000066044	1994	HGNC:3312
BMI_11592_1_proximal_Female	0.0848090811145256	0.114755605322863	1.08850922989004	0.869260955031966	1.36305713111461	0.460622855538784	288.850965682208	0.00743230051627556	24.393245534646	2.14938643738054	11592_1	BMI	proximal	Female	BMI	ELAV1	ELAV-like protein 1	ELAVL1	Q15717	ENSG00000066044	1994	HGNC:3312
BMI_11593_21_proximal_Female	0.201471057604333	0.0776408735873567	1.22320083418797	1.05053015405851	1.42425257854598	0.0100645595476814	288.344083380941	0.00612477787546529	16.9912213577965	1.52336474494903	BMI	11593_21	proximal	Female	BMI	MIG	C-X-C motif chemokine 9	CXCL9	Q07325	ENSG00000138755	4283	HGNC:7098
BMI_11593_21_proximal_Female	0.0817288516840485	0.137773812445002	1.08516153021319	0.828359681719793	1.42157515948846	0.553618233158588	288.344083380941	0.00612477787546529	16.9912213577965	1.52336474494903	11593_21	BMI	proximal	Female	BMI	MIG	C-X-C motif chemokine 9	CXCL9	Q07325	ENSG00000138755	4283	HGNC:7098
BMI_11667_29_distal_Male	0.217288448161615	0.0813304868843229	1.24270250569806	1.05958857275516	1.45746146889136	0.0081856408281221	260.026645445073	0.00108482636358994	28.7027878086052	1.99576182136476	BMI	11667_29	distal	Male	BMI	TENC1	Tensin-2	TNS2	Q63HR2	ENSG00000111077	NA	HGNC:19737
BMI_11667_29_distal_Male	0.101033939327249	0.141161631952387	1.10631418868555	0.838917541440165	1.45894086561339	0.47501282734129	260.026645445073	0.00108482636358994	28.7027878086052	1.99576182136476	11667_29	BMI	distal	Male	BMI	TENC1	Tensin-2	TNS2	Q63HR2	ENSG00000111077	NA	HGNC:19737
BMI_11667_29_rectal_Female	0.000321619188507563	0.0845989413730264	1.0003216709135	0.847476383745658	1.18073313249929	0.996969962204024	276.438693310896	0.0216946878819671	25.3205429800501	1.87516863146225	BMI	11667_29	rectal	Female	BMI	TENC1	Tensin-2	TNS2	Q63HR2	ENSG00000111077	NA	HGNC:19737
BMI_11667_29_rectal_Female	0.206591346515697	0.137956078843046	1.22948003780529	0.938190210000792	1.61120969633696	0.135618496037227	276.438693310896	0.0216946878819671	25.3205429800501	1.87516863146225	11667_29	BMI	rectal	Female	BMI	TENC1	Tensin-2	TNS2	Q63HR2	ENSG00000111077	NA	HGNC:19737
BMI_11671_19_colon_Male	0.274907355967482	0.0640629692529416	1.31640871180663	1.16107225536036	1.49252717780475	2.79646479741054e-05	264.399501178335	0.000581149169462526	38.4210815412264	1.85859238594973	BMI	11671_19	colon	Male	BMI	BRPF1	Peregrin	BRPF1	P55201	ENSG00000156983	NA	HGNC:14255
BMI_11671_19_colon_Male	0.0424830007792293	0.111709724955972	1.04339831926454	0.838225551539023	1.29879129864891	0.704138032287853	264.399501178335	0.000581149169462526	38.4210815412264	1.85859238594973	11671_19	BMI	colon	Male	BMI	BRPF1	Peregrin	BRPF1	P55201	ENSG00000156983	NA	HGNC:14255
BMI_11671_19_overall_Sex-combined	0.146176859510348	0.0378737347087856	1.15740086730119	1.07459552985441	1.24658695333587	0.000130758284089175	744.894642468042	1.22802397765942e-18	30.7508938672186	1.41784436495888	BMI	11671_19	overall	Sex-combined	BMI	BRPF1	Peregrin	BRPF1	P55201	ENSG00000156983	NA	HGNC:14255
